,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
348,50,15.0,0.1,4,0.0,0.49540347293156284
349,50,15.0,0.1,4,0.1,0.49948927477017363
350,50,15.0,0.1,4,0.2,0.49846782431052095
351,50,15.0,0.1,4,0.3,0.4974463738508682
352,50,15.0,0.2,1,0.0,0.5383043922369765
353,50,15.0,0.2,1,0.1,0.508682328907048
354,50,15.0,0.2,1,0.2,0.5209397344228804
355,50,15.0,0.2,1,0.3,0.5188968335035751
356,50,15.0,0.2,2,0.0,0.526046986721144
357,50,15.0,0.2,2,0.1,0.5413687436159347
358,50,15.0,0.2,2,0.2,0.5097037793667007
359,50,15.0,0.2,2,0.3,0.5076608784473953
360,50,15.0,0.2,3,0.0,0.5117466802860061
361,50,15.0,0.2,3,0.1,0.5209397344228804
362,50,15.0,0.2,3,0.2,0.5209397344228804
363,50,15.0,0.2,3,0.3,0.5097037793667007
364,50,15.0,0.2,4,0.0,0.5025536261491318
365,50,15.0,0.2,4,0.1,0.5117466802860061
366,50,15.0,0.2,4,0.2,0.49540347293156284
367,50,15.0,0.2,4,0.3,0.5045965270684372
368,50,15.0,0.3,1,0.0,0.5148110316649642
369,50,15.0,0.3,1,0.1,0.5107252298263534
370,50,15.0,0.3,1,0.2,0.5045965270684372
371,50,15.0,0.3,1,0.3,0.5199182839632278
372,50,15.0,0.3,2,0.0,0.5321756894790602
373,50,15.0,0.3,2,0.1,0.526046986721144
374,50,15.0,0.3,2,0.2,0.5199182839632278
375,50,15.0,0.3,2,0.3,0.5127681307456589
376,50,15.0,0.3,3,0.0,0.5199182839632278
377,50,15.0,0.3,3,0.1,0.5035750766087844
378,50,15.0,0.3,3,0.2,0.5056179775280899
379,50,15.0,0.3,3,0.3,0.5045965270684372
380,50,15.0,0.3,4,0.0,0.5076608784473953
381,50,15.0,0.3,4,0.1,0.5229826353421859
382,50,15.0,0.3,4,0.2,0.5045965270684372
383,50,15.0,0.3,4,0.3,0.5117466802860061
384,50,20.0,0.01,1,0.0,0.5250255362614913
385,50,20.0,0.01,1,0.1,0.526046986721144
386,50,20.0,0.01,1,0.2,0.5188968335035751
387,50,20.0,0.01,1,0.3,0.5219611848825332
388,50,20.0,0.01,2,0.0,0.5107252298263534
389,50,20.0,0.01,2,0.1,0.508682328907048
390,50,20.0,0.01,2,0.2,0.5097037793667007
391,50,20.0,0.01,2,0.3,0.5076608784473953
392,50,20.0,0.01,3,0.0,0.491317671092952
393,50,20.0,0.01,3,0.1,0.49948927477017363
394,50,20.0,0.01,3,0.2,0.5025536261491318
395,50,20.0,0.01,3,0.3,0.5066394279877426
396,50,20.0,0.01,4,0.0,0.5137895812053116
397,50,20.0,0.01,4,0.1,0.5107252298263534
398,50,20.0,0.01,4,0.2,0.5005107252298263
399,50,20.0,0.01,4,0.3,0.5107252298263534
400,50,20.0,0.1,1,0.0,0.5137895812053116
401,50,20.0,0.1,1,0.1,0.5148110316649642
402,50,20.0,0.1,1,0.2,0.5199182839632278
403,50,20.0,0.1,1,0.3,0.515832482124617
404,50,20.0,0.1,2,0.0,0.5127681307456589
405,50,20.0,0.1,2,0.1,0.5148110316649642
406,50,20.0,0.1,2,0.2,0.5280898876404494
407,50,20.0,0.1,2,0.3,0.515832482124617
408,50,20.0,0.1,3,0.0,0.501532175689479
409,50,20.0,0.1,3,0.1,0.49948927477017363
410,50,20.0,0.1,3,0.2,0.5025536261491318
411,50,20.0,0.1,3,0.3,0.5056179775280899
412,50,20.0,0.1,4,0.0,0.4964249233912155
413,50,20.0,0.1,4,0.1,0.4902962206332993
414,50,20.0,0.1,4,0.2,0.4974463738508682
415,50,20.0,0.1,4,0.3,0.5097037793667007
416,50,20.0,0.2,1,0.0,0.5035750766087844
417,50,20.0,0.2,1,0.1,0.5127681307456589
418,50,20.0,0.2,1,0.2,0.5035750766087844
419,50,20.0,0.2,1,0.3,0.508682328907048
420,50,20.0,0.2,2,0.0,0.5188968335035751
421,50,20.0,0.2,2,0.1,0.5250255362614913
422,50,20.0,0.2,2,0.2,0.5178753830439223
423,50,20.0,0.2,2,0.3,0.5107252298263534
424,50,20.0,0.2,3,0.0,0.5076608784473953
425,50,20.0,0.2,3,0.1,0.5056179775280899
426,50,20.0,0.2,3,0.2,0.5066394279877426
427,50,20.0,0.2,3,0.3,0.5056179775280899
428,50,20.0,0.2,4,0.0,0.5066394279877426
429,50,20.0,0.2,4,0.1,0.5219611848825332
430,50,20.0,0.2,4,0.2,0.5076608784473953
431,50,20.0,0.2,4,0.3,0.5117466802860061
432,50,20.0,0.3,1,0.0,0.5178753830439223
433,50,20.0,0.3,1,0.1,0.5045965270684372
434,50,20.0,0.3,1,0.2,0.515832482124617
435,50,20.0,0.3,1,0.3,0.5005107252298263
436,50,20.0,0.3,2,0.0,0.508682328907048
437,50,20.0,0.3,2,0.1,0.5209397344228804
438,50,20.0,0.3,2,0.2,0.5311542390194075
439,50,20.0,0.3,2,0.3,0.5127681307456589
440,50,20.0,0.3,3,0.0,0.508682328907048
441,50,20.0,0.3,3,0.1,0.5168539325842697
442,50,20.0,0.3,3,0.2,0.5107252298263534
443,50,20.0,0.3,3,0.3,0.5178753830439223
444,50,20.0,0.3,4,0.0,0.5209397344228804
445,50,20.0,0.3,4,0.1,0.5107252298263534
446,50,20.0,0.3,4,0.2,0.508682328907048
447,50,20.0,0.3,4,0.3,0.526046986721144
448,50,,0.01,1,0.0,0.5045965270684372
449,50,,0.01,1,0.1,0.5056179775280899
450,50,,0.01,1,0.2,0.5035750766087844
451,50,,0.01,1,0.3,0.5056179775280899
452,50,,0.01,2,0.0,0.5168539325842697
453,50,,0.01,2,0.1,0.5127681307456589
454,50,,0.01,2,0.2,0.515832482124617
455,50,,0.01,2,0.3,0.5178753830439223
456,50,,0.01,3,0.0,0.5168539325842697
457,50,,0.01,3,0.1,0.5168539325842697
458,50,,0.01,3,0.2,0.5168539325842697
459,50,,0.01,3,0.3,0.5188968335035751
460,50,,0.01,4,0.0,0.5240040858018387
461,50,,0.01,4,0.1,0.5240040858018387
462,50,,0.01,4,0.2,0.5240040858018387
463,50,,0.01,4,0.3,0.5240040858018387
464,50,,0.1,1,0.0,0.5137895812053116
465,50,,0.1,1,0.1,0.5199182839632278
466,50,,0.1,1,0.2,0.5076608784473953
467,50,,0.1,1,0.3,0.5137895812053116
468,50,,0.1,2,0.0,0.5188968335035751
469,50,,0.1,2,0.1,0.5137895812053116
470,50,,0.1,2,0.2,0.5188968335035751
471,50,,0.1,2,0.3,0.49948927477017363
472,50,,0.1,3,0.0,0.5066394279877426
473,50,,0.1,3,0.1,0.5066394279877426
474,50,,0.1,3,0.2,0.5076608784473953
475,50,,0.1,3,0.3,0.5056179775280899
476,50,,0.1,4,0.0,0.48927477017364657
477,50,,0.1,4,0.1,0.48723186925434114
478,50,,0.1,4,0.2,0.48416751787538304
479,50,,0.1,4,0.3,0.4974463738508682
480,50,,0.2,1,0.0,0.5137895812053116
481,50,,0.2,1,0.1,0.508682328907048
482,50,,0.2,1,0.2,0.501532175689479
483,50,,0.2,1,0.3,0.5035750766087844
484,50,,0.2,2,0.0,0.501532175689479
485,50,,0.2,2,0.1,0.5076608784473953
486,50,,0.2,2,0.2,0.5240040858018387
487,50,,0.2,2,0.3,0.5168539325842697
488,50,,0.2,3,0.0,0.5117466802860061
489,50,,0.2,3,0.1,0.5229826353421859
490,50,,0.2,3,0.2,0.49948927477017363
491,50,,0.2,3,0.3,0.4923391215526047
492,50,,0.2,4,0.0,0.4923391215526047
493,50,,0.2,4,0.1,0.4923391215526047
494,50,,0.2,4,0.2,0.4923391215526047
495,50,,0.2,4,0.3,0.49948927477017363
496,50,,0.3,1,0.0,0.4923391215526047
497,50,,0.3,1,0.1,0.508682328907048
498,50,,0.3,1,0.2,0.5005107252298263
499,50,,0.3,1,0.3,0.5056179775280899
500,50,,0.3,2,0.0,0.4923391215526047
501,50,,0.3,2,0.1,0.5097037793667007
502,50,,0.3,2,0.2,0.5127681307456589
503,50,,0.3,2,0.3,0.4974463738508682
504,50,,0.3,3,0.0,0.5025536261491318
505,50,,0.3,3,0.1,0.501532175689479
506,50,,0.3,3,0.2,0.5097037793667007
507,50,,0.3,3,0.3,0.5097037793667007
508,50,,0.3,4,0.0,0.48416751787538304
509,50,,0.3,4,0.1,0.491317671092952
510,50,,0.3,4,0.2,0.4974463738508682
511,50,,0.3,4,0.3,0.4974463738508682
512,100,10.0,0.01,1,0.0,0.5045965270684372
513,100,10.0,0.01,1,0.1,0.5005107252298263
514,100,10.0,0.01,1,0.2,0.5005107252298263
515,100,10.0,0.01,1,0.3,0.4882533197139939
516,100,10.0,0.01,2,0.0,0.4923391215526047
517,100,10.0,0.01,2,0.1,0.5056179775280899
518,100,10.0,0.01,2,0.2,0.5056179775280899
519,100,10.0,0.01,2,0.3,0.501532175689479
520,100,10.0,0.01,3,0.0,0.5025536261491318
521,100,10.0,0.01,3,0.1,0.5025536261491318
522,100,10.0,0.01,3,0.2,0.5127681307456589
523,100,10.0,0.01,3,0.3,0.5107252298263534
524,100,10.0,0.01,4,0.0,0.5188968335035751
525,100,10.0,0.01,4,0.1,0.5127681307456589
526,100,10.0,0.01,4,0.2,0.5097037793667007
